"source_affected","state","years","sample","issue","evidence","action","status","rows_affected","where_fixed","date"
"Montana Secretary of State (canvass PDFs via the Wayback Machine)","MT","1992;1996;1998","HE","Montana House county rows for 1992, 1996 and 1998 were missing. They come from the Secretary of State's official general-election canvass PDFs (wide tables split over pages; the 1996 and 1998 House columns lie on pages without county names and are matched to counties by row order)","Every candidate's 56 county values equal the printed statewide total; county House votes are 83-99% of votes cast (alignment check); 1992 and 1996 candidate totals equal the FEC","Added 168 county-years (01fy_montana_1992_1998_parse.py; 01fz_house_county_montana_1992_1998.R; 01ga_montana_apply.R)","fixed","168 county-years","R/data_creation/01fy_montana_1992_1998_parse.py; 01fz_house_county_montana_1992_1998.R; 01ga_montana_apply.R","2026-09-24"
"Oklahoma State Election Board (Wayback Machine capture)","OK","1998","HE","Oklahoma House county rows for 1998 were missing. They now come from the State Election Board's own 'General Election 11/3/98: Congressional Officers' page as archived by the Wayback Machine: every candidate's votes in every county of each of the six districts (a county split between districts appears in each and is summed)","Every district table ties to its STATE TOTAL line and every county row to its total; district totals equal the FEC's official results (Largent 91,031, Coburn 85,581, Watkins 89,832)","Added 77 county-years (01fk_house_county_oklahoma_1998.R; 01fl_oklahoma_1998_apply.R)","fixed","77 county-years","R/data_creation/01fj_oklahoma_1998_parse.py; 01fk_house_county_oklahoma_1998.R; 01fl_oklahoma_1998_apply.R","2026-09-23"
"Missouri Secretary of State (Official Manual)","MO","1990;1992;1994;1996;1998","HE","Missouri House county rows for 1990-1998 were missing (no county-level source in the OpenElections/MEDSL data). They now come from the Official Manual of the State of Missouri (Blue Book), whose general-election pages give, per congressional district, each candidate's votes in every county or part of a county: 45 district tables read by eye from page images. Split counties (St. Louis County and City, Jackson, St. Charles, Franklin) are summed over the districts and 'Kansas City' rows (District 5, 1994-1998) belong to Jackson County. The 1990 pages list only the Republican and Democratic candidates. The 1992 page 706 heads the District 5 table 'District 9' (misprint)","County rows add up to the printed TOTALS of every district in every column, except the Republican column of 1992 District 8 where the 26 county cells add up to 147,128 and the book and the FEC print 147,398 (270 votes: probably a transposed digit in one county, left as printed)","Added 575 county-years (01fh_house_county_missouri_1990_1998.R; 01fi_missouri_apply.R)","fixed","575 county-years","R/data_creation/01fg_missouri_1990_1998_parse.py; 01fh_house_county_missouri_1990_1998.R; 01fi_missouri_apply.R","2026-09-23"
"Nevada Secretary of State","NV","1990;1992;1994;1996;1998","HE","Nevada House county rows for 1990-1998 were missing (no county-level source in the OpenElections/MEDSL data). They now come from the Secretary of State's official general-election abstracts (17 counties; district 1 is entirely Clark County; district 2 covers the other counties and part of Clark): five PDF documents (three scanned, one with a noisy OCR layer, one with a text layer) transcribed from the page images. 1992 is a fax-quality scan in which the digits 5 and 6 are easily confused","Every row's 17 county cells add up to the printed total (after one FEC-assisted correction of Sferrazza's Clark cell in 1992); statewide candidate totals equal the FEC's official results in all five years (minor candidate Golden 1992: 2,860 vs FEC 2,850)","Added 85 county-years (01fe_house_county_nevada_1990_1998.R; 01ff_nevada_apply.R)","fixed","85 county-years","R/data_creation/01fd_nevada_1990_1998_transcribe.py; 01fe_house_county_nevada_1990_1998.R; 01ff_nevada_apply.R","2026-09-23"
"Ohio Secretary of State (Wayback Machine capture)","OH","1996;2002","HE","Ohio House county rows for 1996 were missing, and the OpenElections 2002 row for Cuyahoga County held only 46,100 House votes (Democratic share 0.48, Republican 0.52): it missed the Cuyahoga portions of CD10 (Kucinich) and CD11 (Tubbs Jones), which the SOS page shows as 'Cuyahoga Total' (374,372 votes; Democratic 0.72, Republican 0.27). 1996 and 2002 now come from the Ohio Secretary of State's own results pages as archived by the Wayback Machine (October 2004 captures)","County rows tie to the printed district totals of the pages (difference of 1 vote in one 2000 district, not used); 1996 district totals equal America Votes in every compared district except one America Votes typo; the other 87 counties of 2002 are identical to the OpenElections rows","Added 88 county-years (1996) and replaced 88 county-years (2002; 1 changes) (01fc_ohio_sos_archive_apply.R)","replaced","176 county-years","R/data_creation/01fb_house_county_ohio_sos_archive.R; 01fc_ohio_sos_archive_apply.R","2026-09-23"
"MA Secretary of the Commonwealth Elections Statistics","MA","1990-2014","HE","Massachusetts House county rows for 1990-2014 (every even year) now come from the Secretary of the Commonwealth's Elections Statistics site (town tables summed to the 14 counties). They add 1990, 1992, 1994, 1996 (13 of 14 counties: Sutton has no rows), 1998 and REPLACE the OpenElections rows of 2000-2014 (2002-2008 and 2014 identical; 2000: four counties lacked the Republican candidate (Travis) because the OpenElections town files omit that column; 2010: two counties differ by up to 0.1 points; 2012: 13 of 14 counties). In the site's own tables: 2000 CD4 omits Martin D. Travis's (Republican) column although Total Votes Cast includes it (reconstructed per town as Total minus the listed cells; the residuals add up to exactly his FEC total 56,553) and 1996 CD10 Sandwich's Teague cell is 180 short of the TOTALS row (repaired; his FEC total 123,523 equals the TOTALS row)","TOTALS row of every table (town rows tie in all 129 contests after the two repairs); FEC official district results (R/qa_state_reconcile_congress.R, 2004-2014; federalelections00.pdf and federalelections96.pdf for the two repairs)","Added 70 county-years and replaced 111 county-years (01ez_massachusetts_electionstats_apply.R). Terms caution: the Secretary's Terms and Conditions prohibit scraping or crawling by automated means; the tables were fetched with a script; reuse permission not requested, included by project decision (public facts)","replaced","181 county-years","R/data_creation/01ey_house_county_massachusetts_electionstats.R; 01ez_massachusetts_electionstats_apply.R","2026-09-23"
"Washington Secretary of State","WA","2008;2010","HE","Washington House county rows for 2008 were missing (the OpenElections repo has no 2008 file) and 2010 had 37 of 39 counties: the OpenElections 2010 precinct file misspells Wahkiakum ('Wahkiukum') and Pend Oreille ('Pend O'reille'), so both failed the county match and were dropped. The same file has errors: King County CD9 has the candidates swapped (Smith 39,757 / Muri 59,201; the SOS file has Smith 59,201 / Muri 39,757), Skamania CD3 has Heck and Herrera Beutler swapped, Snohomish CD2 has Larsen and Koster mixed (about 2,200 votes), and Pierce CD6 / CD9 miss votes that Pierce suppresses in precinct cells for voter privacy (the printed Contest Total is complete). 2008 and 2010 now come from the Secretary of State's General Election data downloads (39 counties each)","2008: county sums equal the printed district totals for all 18 candidates; 2010: district totals equal the FEC's official Democratic and Republican votes in all 9 districts (they differed in CD2, CD3, CD6 and CD9 before)","Added 39 county-years (2008); replaced 37 county-years and added 2 (2010) (01ev_washington_sos_apply.R); 4 of the 39 counties' 2010 shares change (King, Pierce, Skamania, Snohomish)","replaced","78 county-years","R/data_creation/01eu_house_county_washington_sos.R; 01ew_washington_2010_sos_precinct.R; 01ev_washington_sos_apply.R","2026-09-23"
"CT Secretary of the State Election History","CT","1990-2014","HE","Connecticut House county rows for 1990-2014 (every even year) now come from the Secretary of the State's Election History database (town tables summed to the 8 counties). They add 1990, 1992, 1994, 1996, 1998 (5 of 8 counties: CD1 was uncontested and is not in the database), 2004 and 2014 (no rows before) and REPLACE the OpenElections rows of 2000, 2002, 2006, 2008, 2010 and 2012 (2012 had 3 of 8 counties; the 2002 rows lacked a Democratic party label for Courtney in CD2 in the source; 2010 shares differed by up to 1.6 points). In the database itself: 1998 CD3 David P. Cole is labelled Republican (FEC: Reform; relabelled), 2002 CD2 Joe Courtney has a blank party (Democratic per FEC; relabelled), 2008 CD3 Bo Itshaky's district-row cell (26,432) contradicts his town rows (58,583; the printed district total agrees with the town rows), 1994 CD5 Woodbridge candidate cells exceed the printed town total by 200, and write-in votes printed only on the district row (2004 CD2 and CD4, 2008 CD2) are not in the county rows","District rows of the same tables; FEC official district results (R/qa_state_reconcile_congress.R, 2004-2014) and FEC 1998 results for the party labels","Added 58 county-years and replaced 43 county-years (01et_connecticut_elstats_apply.R); literal ballot-line party classification as in the earlier build","replaced","101 county-years","R/data_creation/01es_house_county_connecticut_elstats.R; 01et_connecticut_elstats_apply.R","2026-09-23"
"NY State Board of Elections","NY","1996-2018","HE","New York House county rows for 1996-2018 (every even year) now come from the NY State Board of Elections Elections Database, one table per congressional district. They add 1996, 1998, 2002, 2008 and 2010 (no rows before) and REPLACE the OpenElections rows of 2000, 2004, 2006, 2012 and 2014 and the MEDSL rows of 2016 and 2018. Replaced rows had missing counties (2012: 58 of 62; 2016: 61 of 62; 2018: 47 of 62 counties in the panel) and errors (2000: Bronx and Queens totals 17% and 26% above the official county tables and a different party split; 2004 Kings share). In the database itself, a duplicate 'Otsego' county row (a cell-for-cell copy of the district's Oswego row) appears in 2010 CD24 and in 2012-2018 CD22 and CD24 and is dropped; 1996 has no Oswego rows (61 of 62 counties); 2000 CD13 spells Fossella two ways (merged)","District rows of the same tables and FEC official district results (R/qa_state_reconcile_congress.R); county rows tie to the printed district row in every column of all 346 contests","Added 327 county-years and replaced 416 county-years (01eq_new_york_boe_apply.R); blank/void/scattering are not counted as votes","replaced","743 county-years","R/data_creation/01ep_house_county_new_york_boe.R; 01eq_new_york_boe_apply.R","2026-09-23"
"NY State Board of Elections","NY","2018","SE","Three New York 2018 Senate counties (Jefferson, Niagara, Ulster) are missing from MEDSL; filled from the NY State Board of Elections Elections Database county table for the 2018 U.S. Senate general election (all 62 counties tie to the statewide row; first filled on 2026-09-21 from America Votes 33, whose numbers are identical, and re-sourced to the official table on 2026-09-23). The table's candidate totals combine all party lines (Gillibrand: Democratic + Working Families + Independence + Women's Equality), while the MEDSL-based counties count the Democratic and Republican lines only, so these three counties' Democratic/Republican shares are slightly higher than a line-based count","NY State Board of Elections, statewide row","Added 3 county-years (01dg_ny_senate_2018_boe_apply.R); the rest of New York keeps the MEDSL line-based counts","fixed","3 county-years added","R/data_creation/02b2_senate_ny_2018_boe.R; 01dg_ny_senate_2018_boe_apply.R","2026-09-21"
"MEDSL","NY","2018","SE","Even after the fix, four New York counties differ from the official NY State Board of Elections table by more than 1%: Lewis (MEDSL 8,182 vs 8,830), Madison (22,367 vs 25,735), Wyoming (13,818 vs 13,170) and Nassau (491,668 vs 499,245); MEDSL's precinct data look incomplete or padded there","NY State Board of Elections county table","Left as MEDSL (the official table combines party lines, so a replacement would change the party definition within the state); flagged","flagged","4 county-years","R/data_creation/02b2_senate_ny_2018_boe.R","2026-09-21"
"MEDSL","GA;KY;ND;IL;ME;NJ;IN;NY;VT;AZ","2016;2018;2020;2024","HE;SE","MEDSL rows with a BLANK party field were classified OTHER: Georgia, Kentucky and North Dakota 2016 had Democratic AND Republican shares of 0 in 158 / 108 / 53 Senate county-years and in 16 (GA) and 27 (KY) House county-years; smaller cases in Illinois, Maine, New Jersey (2016), Indiana, New York, Vermont (2018/2020) and Arizona (2024). Totals were right, only the party split was wrong (in Georgia 2016 Senate the Democratic share showed 0 instead of about 0.42)","QA sweep test T3 (R/qa_medsl_sweep.R: Democratic and Republican shares both 0 in a county with more than 1,000 votes)","Blank party labels are now filled from the same candidate's labelled rows (state + district + name) for ALL state-years (01a fill_blank_party, previously used only for NJ/OR 2024); two Wikipedia overrides for North Dakota 2016 Senate (Hoeven REP, Glassheim DEM-NPL: no labelled row anywhere). 377 panel rows replaced (55 House, 322 Senate; 01dh_medsl_blank_party_apply.R)","fixed","377 county-years","R/data_creation/01dh_medsl_blank_party_apply.R; 02a_house_long_medsl.R; 02b_senate_long_medsl.R","2026-09-21"
"MEDSL","GA","2022","SE","MEDSL's Georgia 2022 Senate file holds the November general AND the December runoff (stage GEN and GEN RUNOFF); 01a summed both, so all 159 county totals were about twice the House totals (Democratic/Republican shares were close to the truth)","QA sweep test T2 (House vs Senate total in the same county: ratio 0.51 in 147 counties)","Decisive-round rule (same as Louisiana): only the runoff rows are kept (01a decisive_round; stage 'runoff'); 159 rows replaced (01di_medsl_ga_senate_2022_runoff_apply.R)","fixed","159 county-years","R/data_creation/01a_election_data_medsl.R; 01di_medsl_ga_senate_2022_runoff_apply.R","2026-09-21"
"MEDSL","NJ","2022","HE","MEDSL's New Jersey 2022 House file repeats the DISTRICT total in every county of the district (e.g. Salem County 273,706 votes: Van Drew 162,103 = his whole district); county totals are 2-8 times the presidential total in all 21 counties, so the county data are unusable","QA sweep test T1 (ratio to the presidential total 2.0-8.1 against a state median of 1.28)","Not fixed; needs the official 2022 results by county (New Jersey Division of Elections)","flagged","21 county-years (New Jersey 2022 House)","R/qa_medsl_sweep.R","2026-09-21"
"MEDSL","NY;OR;MI;FL;MD;MS;OK;NH;UT;AL;TN;TX;ND","2016-2024","HE;SE","Remaining outliers found by the QA sweep and not yet resolved (R/output/qa_medsl_sweep_flags.csv, 64 flags): NY 2018 House Monroe (Morelle's Democratic rows are missing from the raw file entirely: House total 122,869 vs Senate 280,026), Dutchess, Montgomery, Rensselaer and Oswego; NY 2022 Chenango and Otsego (about 1.4x the usual ratio in both offices); Oregon 2018 Tillamook (House votes doubled: Schrader 13,604 + Callahan 11,436 in a county of about 14,000 voters); Michigan 2022 Midland (4,293 votes, about 10% of the usual turnout); New Hampshire 2016 Strafford; Maryland 2020 Howard and Baltimore City (0.43 of presidential); Mississippi 2022 Yazoo and 2024 Noxubee; Oklahoma 2024 Canadian and Creek; New Jersey 2024 Bergen (already flagged); and low ratios in Florida, Alabama and Tennessee that mostly reflect unopposed districts (Florida prints no unopposed races)","QA sweep tests T1 and T2","Flagged only: each needs the state's official county results or a check of the raw MEDSL rows","flagged","about 50 county-years","R/qa_medsl_sweep.R","2026-09-21"
"OpenElections","WV","2010;2012","HE","Some counties' precinct files carry an extra precinct == 'TOTALS' rollup row per candidate, disguised as an ordinary precinct (not caught by any office/candidate-name filter); 01az summed it on top of the real per-precinct rows, doubling the county total","User-supplied WV Blue Book 2012 general-election returns (0767_WVS_BlueBook.pdf) cross-checked against the panel: Monongalia and Ohio 2012 were exactly 2x the book's printed county totals (confirmed via 2012 presidential turnout too: Monongalia's pre-fix House total was 186% of its own presidential vote). Scanning all cached WV precinct files found the same TOTALS row in 12 more 2010 counties","01az_house_county_west_virginia.R and 02p_house_long_west_virginia.R now exclude precinct == 'TOTALS'; panel patched in place","fixed","12 (2010) + 2 (2012) county-years","R/data_creation/01az_house_county_west_virginia.R; 01e4_west_virginia_2012_bluebook_and_totals_fix_apply.R","2026-09-23"
"n/a (coverage gap closed)","WV","2012","HE","01az's OpenElections build only covered 25/55 West Virginia House counties in 2012 (the rest genuinely absent from the OpenElections repo)","n/a - not an error, a coverage gap","User supplied the WV Blue Book volume with the 2012 general election returns (0767_WVS_BlueBook.pdf); transcribed and verified against its own printed district TOTALS rows and against the (now-fixed) OpenElections build for the 25 overlap counties","replaced","30 counties added (25 -> 55)","R/data_creation/01e3_house_county_west_virginia_bluebook.R; 02p_house_long_west_virginia_bluebook_2012.R","2026-09-23"
"n/a (coverage gap closed)","WV","1990;1992;1994;1996;1998","HE","West Virginia House had no county-level source at all for 1990-1998 (OpenElections' WV repo starts at 2000)","n/a - not an error, a coverage gap","User supplied 5 more WV Blue Book volumes (1991/1993/1995/1997/1999 editions), each carrying the PRIOR even year's general election returns; transcribed and verified against each district's own printed TOTAL row (all 16 district-year tables tie out exactly)","replaced","275 new county-years (55 counties x 5 years)","R/data_creation/01e6_house_county_west_virginia_bluebook_1990_1998.R; 02p_house_long_west_virginia_bluebook_1990_1998.R","2026-09-23"
"OpenElections","WV","2010","HE","Even after the TOTALS-rollup fix (see the 01az entry above), OpenElections' 2010 West Virginia precinct files are themselves incomplete for a number of counties -- e.g. Marshall's real per-precinct rows sum to only 8,653 vs the Blue Book's certified 10,152 -- a different, larger problem than the single rollup-row bug","20 of 31 overlap counties differ from the WV Blue Book 2011 edition's printed 2010 general returns, several substantially (Marshall +1,499, Kanawha -823); the book ties exactly to its own printed district TOTAL rows","Adopted the WV Blue Book as the authoritative source for the full 55 counties (same treatment already given to 2012), replacing all 31 existing OpenElections-sourced rows","replaced","31 counties replaced + 24 counties added (55 total)","R/data_creation/01e5_house_county_west_virginia_bluebook_2010.R; 02p_house_long_west_virginia_bluebook_2010.R","2026-09-23"
"OpenElections","WV","2008","HE","Same problem as 2010 (see the entry above): OpenElections' 2008 West Virginia precinct files are incomplete for a number of counties, e.g. Wetzel's real per-precinct rows sum to only 331 vs the Blue Book's certified 5,267","32 of 48 overlap counties differ from the WV Blue Book 2011 edition's printed 2008 general returns (which also has the section immediately before 2010's); the book ties exactly to its own printed district TOTAL rows","Adopted the WV Blue Book as the authoritative source for the full 55 counties, replacing all 48 existing OpenElections-sourced rows. This closes the last remaining WV House gap -- WV House is now complete, zero gaps, 1990-2024","replaced","48 counties replaced + 7 counties added (55 total)","R/data_creation/01e8_house_county_west_virginia_bluebook_2008.R; 02p_house_long_west_virginia_bluebook_2008.R","2026-09-23"
"Colorado SOS historical election database","CO","1990","HE","The source itself lists BOTH candidates as 'Democratic' in 2 of 6 congressional districts: CD1 (Schroeder vs Gloria Gonzales Roemer) and CD6 (Jarrett vs Dan Schaefer) -- vote totals are correct, only the second candidate's party label is wrong","Schaefer was CO-6's Republican incumbent 1983-1999 (GovTrack); Roemer was the GOP's 1990 nominee against Schroeder (contemporaneous Colorado Politics coverage); every other 1990-2000 district's party labels were checked and are clean","Corrected via an explicit (year, district, candidate) override in 01eb_house_county_colorado_1990_2000.R rather than trusting the source's party column for these two rows","fixed","2 candidates (2 of 63 counties x 2 districts affected)","R/data_creation/01eb_house_county_colorado_1990_2000.R","2026-09-23"
"n/a (coverage gap closed)","NM","1998","HE","New Mexico House had no county-level source at all for 1998 (OpenElections' NM repo starts at 2000)","n/a - not an error, a coverage gap","Built from the NM SOS's own per-county HTML result pages (election-results-archive), found via a 3rd-party RealFile widget API not linked directly from the archive page's own HTML; regex-parsed, spot-checked against each row's own printed vote-percent column","replaced","33 counties added (0 -> 33)","R/data_creation/01ed_new_mexico_sos_archive_download.py; 01ef_new_mexico_sos_archive_parse.py; 01ee_house_county_new_mexico_sos_archive.R","2026-09-23"
"OpenElections","NM","2002","HE","01ao's OpenElections build was missing Cibola County entirely (a known, already-documented upstream OpenElections gap -- the string 'cibola' does not appear anywhere in that file)","The NM SOS's own per-county archive (same source as 1998 above) has all 33 counties; the 32 overlapping counties match OpenElections EXACTLY (max diff = 0)","Replaced with the SOS archive build","replaced","1 county added (32 -> 33), 32 counties unchanged","R/data_creation/01ee_house_county_new_mexico_sos_archive.R","2026-09-23"
"n/a (coverage gap closed)","NM","2004;2006","HE","New Mexico House had no county-level source at all for 2004 or 2006 despite America Votes district-level data existing","n/a - not an error, a coverage gap","Parsed from the user-supplied born-digital statewide canvass PDFs (NM_StatewideGen04.pdf, NM_StatewideGen06.pdf) -- a wide table, 33 counties as columns; every row's county-sum verified exactly against the source's own printed TOTAL FOR EACH CANDIDATE column","replaced","33 counties added each year (0 -> 33 x 2)","R/data_creation/01eh_new_mexico_statewide_pdf_parse.py; 01ei_house_county_new_mexico_statewide_pdf.R","2026-09-23"
"n/a (coverage gap closed)","NM","1990;1994;1996","HE","New Mexico House had no county-level source at all for 1990, 1994, or 1996 (OpenElections' NM repo starts at 2000)","n/a - not an error, a coverage gap","Hand-transcribed from the user-supplied scanned Canvass-of-Returns PDFs (NM_CanvassGeneral1990.pdf, NM_CanvassGeneral1994.pdf, 'NM_1996 General Summary.pdf'), same 33-county wide-table format as 1992; every district's county column verified against the source's own printed TOTAL FOR EACH CANDIDATE column. 1994 (31/33) and 1996 (32/33) are missing Harding+Hidalgo and Harding respectively -- confirmed genuinely blank in the source page itself (every candidate's row checked column-by-column at those positions), not a transcription gap. 1990 has one small accepted residual: District 3, Phil T. Archuletta (R), 60 votes (0.17%) under the printed total","replaced","33+31+32 = 96 counties added","R/data_creation/01ek_house_county_new_mexico_scanned_canvass.R","2026-09-23"
"n/a (coverage gap closed)","NM","1992","HE","New Mexico House had no county-level source at all for 1992 (the last remaining NM House source_not_found year; 1990/1994/1996/1998/2002/2004/2006 closed separately). New Mexico House is now complete, zero source_not_found years, 1990-2024","n/a - not an error, a coverage gap","Hand-transcribed from the user-supplied scanned NM_CanvassGeneral1992.pdf (33-county wide-table canvass, same format as 1990/1994/1996); every district's county column verified against the source's own printed TOTAL FOR EACH CANDIDATE column. District 1 and 2 tie out exactly; District 3 ties exactly for Richardson (D, 122,850) and Nagel (Lib, 4,798), with a small accepted residual for Bemis (R): 51 votes (0.09%) short of the printed 54,569. District 3's county-level LABELS were corrected after cross-checking NM-3's actual 1990s county membership against Ballotpedia/Wikipedia (Sierra/Socorro/Valencia belong to District 2, not District 3, as an initial independent transcription had assumed); the affected raw vote numbers were already county-level-correct in 29 of 33 counties, and 4 counties' values were also corrected in the same pass","replaced","33 counties added (0 -> 33)","R/data_creation/01em_house_county_new_mexico_1992_canvass.R; 01eo_new_mexico_1992_d3_fix_apply.R","2026-09-23"
"Tennessee Secretary of State (Tennessee Blue Book)","TN","1996","HE","Tennessee House county rows for 1996 were missing (no Secretary of State county report survives online). They come from the Tennessee Blue Book 1997-1998 county tables, transcribed from the page images and independently checked against the PDF text layer","Every district's county rows add up to its printed TOTAL in every candidate column; district totals equal the FEC's official results; 476 cells agree between the two independent keys","Added 95 county-years (01hf_tn_bluebook_1996_textlayer.py; 01hh_tennessee_1996_bluebook.py; 01hi_house_county_tennessee_1996.R; 01hj_tennessee_1996_apply.R)","fixed","95 county-years","R/data_creation/01hh_tennessee_1996_bluebook.py; 01hi_house_county_tennessee_1996.R; 01hj_tennessee_1996_apply.R","2026-09-24"
"Tennessee Secretary of State (Tennessee Blue Book; Certification of Election Returns on microfiche)","TN","1990;1992;1994","HE","Tennessee House county rows for 1990, 1992 and 1994 were missing. They come from the Tennessee Blue Book county tables, checked cell by cell against the Secretary of State's certification typescript (SRI microfiche). The Blue Book is wrong in four cells, where the certification is used: 1990 D8 Madison Tanner 13,102 -> 14,164; 1992 D1 Jefferson Hartley 71 -> 109; 1992 D7 Montgomery Davis 10,072 -> 10,702; 1992 D8 Madison Ward 1,256 -> 1,265 (tie-derived; the microfiche cell is blurred)","Every candidate column of every district adds up to the certified district total, which equals the FEC; 1990 and 1994 Blue Book and certification agree in every other cell; in 1992 the 14 other differences are blurred microfiche cells where the Blue Book value is the one that ties","Added 285 county-years (01hk_tennessee_1990_1994.py; 01hl_house_county_tennessee_1990_1994.R; 01hm_tennessee_1990_1994_apply.R)","fixed","285 county-years","R/data_creation/01hk_tennessee_1990_1994.py; 01hl_house_county_tennessee_1990_1994.R; 01hm_tennessee_1990_1994_apply.R","2026-09-24"
"OpenElections (openelections-data-id); MEDSL","ID","1994;1996;1998;2000;2016","HE","Idaho House county rows were wrong: the OpenElections files for 1994, 1996 and 1998 have no rows for Helen Chenoweth (R), the District 1 winner each year, so District 1 counties showed the Democrat with 100% of the two-party vote; 2000 lacked Libertarian Donovan Bramwell (District 2); MEDSL 2016 undercounted one county (Labrador -6,406). Found by the project lead in the map app","Replaced from the Idaho Secretary of State's Elections Database (canvass.sos.idaho.gov); candidate votes equal each county's 'Total Votes Cast'; Chenoweth 111,728 / 132,344 / 113,231 and Bramwell 7,542 equal the FEC","Replaced 220 county-years, 86 changed (01fm_house_county_idaho_canvass.R extended; 01hn_idaho_canvass_replace_apply.R)","replaced","220 county-years","R/data_creation/01fm_house_county_idaho_canvass.R; 01hn_idaho_canvass_replace_apply.R","2026-09-24"
"Clerk of the House / FEC cross-check","UT","2000","HE","Utah House 2000 District 1 had no Democrat: the canvass book prints one continuous run of candidate columns wrapping over pages 3-5, and the parser took Senate candidates Dexter (L) and Bowen (IA) as District 1 House candidates, dropped District 1's Collinwood (D), Seely, Anderson and Frandsen as an 'unrelated race', and put Bangerter (IA) in District 3 instead of 2","Rebuilt block now checks every candidate total against the Clerk of the House 2000 statistics (all equal; Collinwood 71,229)","Replaced 29 county-years (02ad_house_ut_2000_2006.R 2000 block rewritten; 01hp_utah_2000_apply.R)","replaced","29 county-years","R/data_creation/02ad_house_ut_2000_2006.R; 01hp_utah_2000_apply.R","2026-09-24"
"MEDSL; OpenElections; Pennsylvania, Tennessee, Texas, Virginia and West Virginia state sources","WY;OR;PA;TN;TX;VA;WV","2022;2008;2002;1998;2006;1994;2002","HE","Seven major-party nominees carried the wrong party label, so their districts showed one party with 100% of the two-party vote: WY 2022 Greybull (D, labelled Libertarian), OR 2008 D1 Haugen (R, Independent), PA 2002 D10 Sherwood (R, 'Demrep'), TN 1998 D9 Burdikoff (R, Independent), TX 2006 D22 Sekula Gibbs (R write-in, 'Write-In'), VA 1994 D9 Boucher (D, 'General Election'), WV 2002 D3 Chapman (R, labelled Democratic)","Found by checking all 807 district-years with only one major party against the FEC and Clerk of the House candidate lists: 795 genuinely uncontested, 4 non-district MEDSL buckets, these 7 labels and the Utah 2000 case","Relabelled via R/data/party_label_corrections.csv (applied in finalize_long for every long build) and 01ho_party_label_fixes_apply.R (86 county-years re-derived; totals unchanged)","fixed","86 county-years","R/data/party_label_corrections.csv; R/long_helpers.R; R/data_creation/01ho_party_label_fixes_apply.R","2026-09-24"
"Michigan Legislative Council (Michigan Manual)","MI","1990;1992","HE","Michigan House county rows for 1990 and 1992 were missing (OpenElections' Michigan repository starts in 1998). They come from the Official Canvass tables printed in the Michigan Manual 1991-1992 and 1993-1994, hand-transcribed; one misprint in the 1992 book corrected (District 1 Kalkaska, Stupak 2,914 -> 2,915)","Every county row adds up to its printed Total by County, every column to the printed Totals, and every district's candidate totals equal the FEC; 1992 cross-checked cell by cell against a second copy (screenshots)","Added 166 county-years (01hq_michigan_1990_transcribe.py; 01hr_michigan_1992_transcribe.py; 01hs_house_county_michigan_1990_1992.R; 01ht_michigan_1990_1992_apply.R)","fixed","166 county-years","R/data_creation/01hq_michigan_1990_transcribe.py; 01hr_michigan_1992_transcribe.py; 01hs_house_county_michigan_1990_1992.R; 01ht_michigan_1990_1992_apply.R","2026-09-24"
"New Jersey Division of Elections","NJ","1992;1994;1996;1998","HE","New Jersey House county rows for 1992-1998 were missing (the Division's PDFs for these years are image-only scans). Hand-transcribed from the scans","Every candidate's county votes add up to the printed Total; every candidate Total equals the Clerk of the House statistics (1996: FEC book)","Added 84 county-years (01hu-01hx *_transcribe.py; 01hz_house_county_new_jersey_1992_1998.R; 01ia_new_jersey_1992_1998_apply.R)","fixed","84 county-years","R/data_creation/01hu_new_jersey_1992_transcribe.py; 01hv; 01hw; 01hx; 01hz_house_county_new_jersey_1992_1998.R; 01ia_new_jersey_1992_1998_apply.R","2026-09-24"
"MEDSL","NJ","2024","HE","MEDSL New Jersey House 2024 lacked Sussex County, doubled Bergen and carried blank-party / nonpartisan rows (4.34M votes in 20 counties vs 4.04M official in 21). Replaced from the Division of Elections' official list (12/05/2024) with the 2022 parser; the parser now allows '!' and similar characters in ballot slogans ('ALL OF US!', District 10)","54 candidates' county rows equal their printed Totals; all 12 district totals equal the printed district totals","Replaced 20 county-years and added Sussex (02aa2_house_nj_2024.R; 01hy_nj_2024_apply.R)","replaced","21 county-years","R/data_creation/02aa2_house_nj_2024.R; 01hy_nj_2024_apply.R","2026-09-24"
"Oklahoma State Election Board (Election Results and Statistics)","OK","1990;1992;1996","HE","Oklahoma House county rows for 1990, 1992 and 1996 were missing (the Oklahoma Almanac prints only district totals and the Board's archived web pages do not cover them). They come from the Board's annual 'State of Oklahoma Election Results and Statistics' books: 1990 and 1992 from the Internet Archive's SRI microfiche, 1996 from the Department of Libraries' Digital Prairie","Candidate columns tie to the printed totals (1996 also every county row to its TOTAL VOTES); every candidate total equals the FEC","Added 231 county-years (01ib_oklahoma_1990_1992_transcribe.py; 01ic_oklahoma_1996_parse.py; 01id_house_county_oklahoma_1990_1996.R; 01ie_oklahoma_1990_1996_apply.R)","fixed","231 county-years","R/data_creation/01ib_oklahoma_1990_1992_transcribe.py; 01ic_oklahoma_1996_parse.py; 01id_house_county_oklahoma_1990_1996.R; 01ie_oklahoma_1990_1996_apply.R","2026-09-24"
